start	end	text
0	7320	All right marvelous TMI show good guys go to heaven bad guys go to batalla batalla
7320	11120	What's up brother? This is Brandon. How you doing? What's going on?
11680	13680	The third member of the YouTube
14680	16680	Ncgg shout out to you brother
16800	18440	so
18440	21840	Let me ask you a question straight up the bat. Like are you a passport bro?
22680	29160	Wow, probably a proud passport boy. Okay. That's what's up, and you love like weird all the places you've been
30440	31940	Okay, so
31940	37720	Took a little down. So this will be Thailand. I'm gonna go backwards Thailand
38680	40360	Dominican Republic
40360	42200	Brazil
42200	44200	Cartagena
49880	57560	Yes, I already said the Dominican Republic. Yeah. Oh, yeah. Yeah. He said the makeup. Oh, I'll say the Dominican Republic twice right and
58080	63200	You love to travel like the traveling's in your blood now. Yes, you love to travel. I
63760	67040	Love it too, man. Look at this this beautiful landscape
68320	70320	Got Asian people everywhere
71360	73860	What do you think about
75640	78720	The places you've been like what would you say about some of the places you've been
80640	84040	Every place I've been to has his own shared experience
84960	86080	Um
86080	88080	some very
88600	91200	Every every place I'll say is at least pleasant. It's
92760	94760	It's pleasant
95520	100440	You have to adapt to each place that we have to adapt but
101240	108160	Overall the one thing I've known is seen about every place is the energy you give is energy you receive that's dope
109040	111040	Very very dope, bro
111120	116560	Energy you receive is the energy you get back. So what you know, whatever you give is what you get back. That is very dope
117040	122760	Could you pick yourself living overseas? Definitely. That's when the time is right. Yeah, um
123840	130160	Everywhere I go. I'm looking at infrastructure. I'm looking at their their economic infrastructure. I'm looking at
130960	137240	Businesses grants. I'm looking at everything. Yeah, I'm looking at different the needs one thing
138240	143520	Like for instance here in Pattaya in Thailand motorbikes are like the main
144960	152360	One of the most main ways of transportation, right? That's true. So if I wanted to open a business here, I would like I would one of the things
152360	154360	I would think about is
154960	158040	Something that has to do with motorbikes right maintaining selling them
158720	164120	That's true. It's one of the first thing that comes to mind. Airbnb's too. Airbnb's is very popular and shit Airbnb's
164400	167920	I'm open to a lot of different things, but it's definitely on the mind, right?
170160	175120	Now around your way in Philadelphia shout to Philadelphia my biggest market a lot of brothers
175120	178120	Do you know you went to school with a high school with college with they travel?
179600	181600	Not too many not too many
182720	185600	That's a crime too. Yeah. Yeah, I tried to
186320	188840	I'm always positive. I'm always I
189440	191440	Don't want to come up braggadocious
191560	194720	But while also one thing I want to move you see I was a little close
195720	197560	I
197560	205960	Want to encourage without being braggadocious. So a lot of people have a mentality that traveling requires a lot of money
205960	209760	A lot of no, it doesn't a lot of stuff if you start small
210520	215360	And you budget and you plan and you just go it's a lot easier
216120	222240	And my community or my circles I'm always encouraging people to travel because hey, I came from the exact same place you did
222760	227440	I'm not special. I'm not a superhuman. I'm not rich if I can do it anybody
227440	230280	So you yeah, yeah, yeah, you struggle a little bit in your youth, right?
231520	233520	Well, you know big family
233840	236200	to household income, you know
237640	240920	You know back in the 90s. It wasn't as hard as it is now
241520	245480	But at the end of the day, we have the amount of siblings I had
246280	251800	You didn't have the Disney World trips every year. Thanks, but you know, we went to OSHA City, Maryland
252080	256000	So my parents is still traveling in me and us
256640	262760	You know ever since we were little and now I'm older. I can just go and do whatever I want
264560	270880	What do you think about people that look down on passport bro? Oh, I love I love love it
271200	275000	I love when people speak negative about passport bros because
276040	278040	It's rooted in ignorance
279040	281040	for instance
281040	284000	I've had this conversation with a couple women
284760	289160	They and I told them I'm a passport bro. She was like, are you proud of that like very proud
289520	292360	And I'll ask that I told her the main reason why
292920	294520	There's a negative
294520	300240	Stigmatism with passport bro with the term passport bro. It's because it involves black men
300920	304360	if there was a British man who went to America and
305360	310040	Engaged in different relationships with American women. No one would say anything about it
310040	315400	In fact, they call them James Bond and I'll make movies about them and I'll make money off of them
315440	319760	But for some reason if a black man wants to go to another country and
320360	324720	Indulge in other countries. It's a problem. Why is that a problem?
325360	327360	Because then boy black man
327360	333720	That's deep you just went deep word up that that's that that's that's that's very very true
333840	338560	They don't say that to the white man. They don't say that to these motherfuckers. Look at that guy. I'm that guy
339160	342160	Don't say that to them. No disrespect to them. No
342600	346680	because if a guy from Mexico of a Mexican guy
347320	349320	went to Argentina
349320	353760	Found an Argentinian wife. No one would say a single thing. Word up
354120	359960	But for some reason if a black man wants to go to Costa Rica and find love there
361400	364600	Right, it's gonna ask yourself why is
365560	369120	So yes proud proud passport
370720	374840	Where would Thailand be on your list of top five places you would go?
376360	381440	Like as far as like you've been the Dominican Republic. You've been to Colombia. You've been to other places
381720	384200	So your top five places you'd like to go
385600	391520	What would you put Thailand as far as as far as the overall experience?
392720	394720	Thailand is
394720	400360	Third, I would say second third the culture the economics
401640	405320	The opportunities to do different adventurous things
406240	409080	Thailand is third. Okay when it comes to
410080	412080	Excursions
416600	419000	Brazil second
420720	422720	Columbia one
422920	428560	Columbia one, okay, but Thailand answer your question Thailand is third now growing up
429760	434280	Did you we just meet you in chapter 215? We just discussed and walking down there and
434800	437840	Ten years ago, would you see yourself in fucking Thailand and
439320	446160	Body facts we working out bunch of ball motherfuckers tattoos. It's it's all about a mentality
446920	450000	if I'm the kind of person who I'm
451080	453080	outgoing and
454400	459760	I'm willing to put myself out there. I'm secure enough for myself to be who I am
460760	462760	I
463280	470360	Love that I'm I am here and I'm anxious to see where the next few years take
471760	473760	Yeah
473880	476400	Good wealth and health and all that running around
477040	480280	Now, let me ask you a question because I know you pretty much forward and all that
480280	483440	Yeah, I love peace of the shit on your face. What?
484320	487080	It's Vidalaga Vidalaga Vidalaga, right?
487880	493040	Is that one of the reason I didn't want to get too serious with this? Come on. Yeah, I know I know okay
493040	496280	So let's start dancing to say the patio. There you go. Big man. There you go
498480	506320	My Vidalago happened I wasn't born with this talk a little loud. I wasn't born with this. Okay. I was 21
507440	511720	When it started off as a small little scratch it looked like a scratch
512600	514480	but
514480	521400	Understand every human body is different. Yeah, everybody's Vidalago is different Michael Jackson had all over his hands
521400	525840	He had all over my personal Vidalago story had to do a stress
525840	528600	I was very stressful when I was 21 and
529840	536040	The root cause for my stress I rooted it out and when I was 22 it stopped
536400	539320	So my Vidalago has just been it's just this
540320	545320	And once I cut out that stress I stopped stressing in my life really it stopped spreading
545320	548440	So that's as far as it's gonna go. God bless as far as I know
548720	555000	All right, so what Vidalago is is basically when your white blood cells attack your pigment cells
555400	557400	That's Vidalaga
557600	562960	There's no cream. There's no reason as to why as far as my knowledge goes
563200	568120	No one knows why your white blood cells just start attacking your pigment cells
568480	573040	The only thing doctors can say is it may be stress-related. It's not hereditary
573800	577520	Nobody in my family had it. It's not something I could pass on to my kid
578600	584720	Every human body is different. Everybody was trans responses stress different. Oh, yeah, some people gain weight
585000	587000	Some people lose their mind
587400	591720	Modest my stress caused me to develop it a lot. That's how it is
592320	596240	Yeah, you're very honest and forthcoming dude, so I figure there ain't a problem
597520	604520	You feel like you do better with women outside the country as far as Columbia, Thailand
607000	609000	Columbia and all that
611720	615520	My experience with women is pretty much the same everywhere
615520	617520	Um
617800	621840	Because my approach to women is always the same. I don't
623280	629040	I'm currently not looking for a relationship at all. Hmm. So every
630040	632040	basis of me
632080	634960	interacting with a woman is on a
635480	642480	Friendship. Hey, what's going on? Hey, you want to go out? No, okay? Bye. All right, whatever or hey, we got this in play
642480	643400	it's
643400	644520	it's
